order_id,customer_city,customer_state,category_name,product_name,order_item_total,benefit_per_order,days_for_shipping_real,late_delivery_risk,delivery_status,order_status,shipping_mode
906,Sacramento,CA,Accessories,Team Golf San Francisco Giants Putter Grip,41.48,10.79,2,0,Advance shipping,PROCESSING,Standard Class
51396,Long Beach,CA,Electronics,Bridgestone e6 Straight Distance NFL San Dieg,51.18,16.02,2,0,Advance shipping,PROCESSING,Standard Class
10116,Wyandotte,MI,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,189.98,89.29,2,0,Shipping canceled,SUSPECTED_FRAUD,Standard Class
12041,Buffalo,NY,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,168.0,-28.06,2,0,Advance shipping,PROCESSING,Standard Class
13491,Richmond,VA,Golf Balls,Glove It Women's Mod Oval Golf Glove,76.76,20.73,2,0,Advance shipping,PROCESSING,Standard Class
45816,Hayward,CA,Accessories,Team Golf St. Louis Cardinals Putter Grip,82.97,25.97,2,0,Advance shipping,PROCESSING,Standard Class
41791,West Jordan,UT,Trade-In,Glove It Imperial Golf Towel,52.45,4.62,2,0,Advance shipping,PROCESSING,Standard Class
66841,Hialeah,FL,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,158.36,0.0,2,0,Shipping canceled,SUSPECTED_FRAUD,Standard Class
66841,Hialeah,FL,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,182.0,61.52,2,0,Shipping canceled,SUSPECTED_FRAUD,Standard Class
5331,San Diego,CA,Tennis & Racquet,Nike Men's Comfort 2 Slide,167.36,75.31,2,0,Shipping canceled,CANCELED,Standard Class
61756,Caguas,PR,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,299.98,92.99,0,0,Shipping on time,PROCESSING,Same Day
38236,Caguas,PR,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,39.98,10.8,2,0,Advance shipping,PENDING,Standard Class
38231,Lansdale,PA,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,167.93,45.34,2,0,Advance shipping,CLOSED,Standard Class
38221,Brooklyn,NY,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,49.98,18.14,2,0,Advance shipping,COMPLETE,Standard Class
38221,Brooklyn,NY,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,165.93,12.45,2,0,Advance shipping,COMPLETE,Standard Class
38171,Dallas,TX,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,207.42,58.08,2,0,Shipping on time,COMPLETE,Second Class
38166,Sandusky,OH,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,74.97,20.99,2,0,Advance shipping,PENDING_PAYMENT,Standard Class
